time,time_milisec,gx,gy,gz,resultant
49:25.5,1.42163E+12,-0.47430366,5.3217883,-0.83456093,5.407669241
49:25.5,1.42163E+12,-0.3154919,3.7784379,0.015987223,3.791620194
49:25.5,1.42163E+12,-1.4889928,2.5292618,-0.013856427,2.935039491
49:25.6,1.42163E+12,0.9081038,-2.4237432,2.050695,3.302201326
49:25.6,1.42163E+12,1.2385174,-2.7637496,1.2012126,3.258089764
49:25.6,1.42163E+12,-0.08633409,1.0658498,1.5902478,1.916344812
49:25.6,1.42163E+12,-0.013856427,0.614995,2.1700702,2.255574322
49:25.6,1.42163E+12,2.68381,-3.825336,1.6787132,4.965290489
49:25.7,1.42163E+12,3.4192464,-2.176466,1.2363856,4.237558205
49:25.7,1.42163E+12,3.067516,2.008061,0.6565632,3.724652819
49:25.7,1.42163E+12,3.4192464,2.7786703,-0.09699259,4.407001491
49:25.7,1.42163E+12,3.322254,1.8023521,-0.10765136,3.781194725
49:25.7,1.42163E+12,2.4322696,1.2022785,0.6171269,2.78249072
49:25.8,1.42163E+12,0.3719813,-0.40182546,0.48389584,0.73074549
49:25.8,1.42163E+12,-0.44019657,0.20677476,0.45618352,0.666807488
49:25.8,1.42163E+12,-0.8356267,0.007460579,0.57769024,1.015900416
49:25.8,1.42163E+12,-2.0528274,0.6192587,-0.07141213,2.145386064
49:25.8,1.42163E+12,-2.6923373,-0.1332313,-0.9272898,2.850666078
49:25.9,1.42163E+12,-2.949207,-1.6030387,-0.9901748,3.499714437
49:25.9,1.42163E+12,-2.9907753,-2.1135807,-0.8270998,3.754471248
49:25.9,1.42163E+12,-3.2924109,-2.2052438,-0.84521943,4.051847188
49:25.9,1.42163E+12,-3.235921,-2.5825546,-1.1223402,4.289571133
49:25.9,1.42163E+12,-3.4895933,-0.58088845,-1.4921902,3.839443239
49:26.0,1.42163E+12,-2.5441842,2.6816783,-0.5254643,3.733682429
49:26.0,1.42163E+12,-1.332313,5.3175254,0.045831405,5.482083074
49:26.0,1.42163E+12,-0.04263428,3.2039447,-1.9036087,3.727037081
49:26.0,1.42163E+12,-1.2928762,-1.8044841,-2.1540833,3.093180661
49:26.0,1.42163E+12,-1.0573237,-1.9366497,-1.1948181,2.509210186
49:26.1,1.42163E+12,-0.577691,-2.5196695,-0.5862177,2.650681511
49:26.1,1.42163E+12,-0.074609786,-2.9246929,-0.06608315,2.926390637
49:26.1,1.42163E+12,0.5744929,-2.426941,0.27072576,2.508660429
49:26.1,1.42163E+12,1.7394668,-0.95287025,0.5073442,2.047218747
49:26.1,1.42163E+12,3.222064,1.0679814,0.7663456,3.479880209
49:26.2,1.42163E+12,3.7709768,2.412018,1.0679814,4.60203011
49:26.2,1.42163E+12,2.6187932,2.7530904,1.042401,3.940074164
49:26.2,1.42163E+12,-1.2704937,2.051761,-0.99550426,2.610537526
49:26.2,1.42163E+12,-0.52972776,6.0060644,-1.3600249,6.18086473
49:26.3,1.42163E+12,-0.465777,3.4533536,-0.48815957,3.518650177
49:26.3,1.42163E+12,-1.8513819,2.412018,0.63524646,3.106281352
49:26.3,1.42163E+12,-0.29310885,-0.34746715,1.3131267,1.389585531
49:26.3,1.42163E+12,0.4231422,-1.3951981,1.0807714,1.81485368
49:26.3,1.42163E+12,-0.2707263,0.6565632,2.5718956,2.668148223
49:26.3,1.42163E+12,1.1202081,-2.590016,2.6305175,3.857806551
49:26.4,1.42163E+12,4.385972,-6.6018753,1.7469277,8.11623461
49:26.4,1.42163E+12,4.513875,-1.7746406,1.1084838,4.975254075
49:26.4,1.42163E+12,2.4248085,2.1881895,0.19291858,3.271862945
