time,time_milisec,ax,ay,az,resultant
49:27.4,1.42163E+12,0.90501803,-16.981438,6.630312,18.25237879
49:27.4,1.42163E+12,3.1097832,-11.044184,1.877845,11.62630868
49:27.5,1.42163E+12,0.82328796,-6.2188177,2.821782,6.87851367
49:27.5,1.42163E+12,-2.4860303,-2.4019053,2.7610085,4.424100322
49:27.5,1.42163E+12,-6.6795597,1.4715898,2.0549269,7.14176581
49:27.5,1.42163E+12,-7.508536,3.9838157,0.70458484,8.529087887
49:27.6,1.42163E+12,-6.8105373,4.785698,0.043409728,8.323953872
49:27.6,1.42163E+12,-5.2572174,2.2821543,-1.4841636,5.920245319
49:27.6,1.42163E+12,2.1573138,-4.147126,-11.330987,12.2574028
49:27.6,1.42163E+12,6.023474,-16.57563,-16.319664,24.02842446
49:27.6,1.42163E+12,3.146457,-14.854361,-12.763059,19.83552135
49:27.6,1.42163E+12,-2.0210972,-1.5462844,9.420211,9.757879105
49:27.7,1.42163E+12,-9.015902,-11.260035,10.154733,17.64067684
49:27.7,1.42163E+12,-12.8414955,-16.890127,10.762469,23.79098854
49:27.7,1.42163E+12,-8.060139,-6.0496697,4.854854,11.18632878
49:27.7,1.42163E+12,-9.162895,-9.33399,7.7468405,15.20182725
49:27.7,1.42163E+12,-6.9888167,-15.708783,12.77698,21.42103266
49:27.8,1.42163E+12,-2.4667203,-19.054476,-2.7629545,19.41112264
49:27.8,1.42163E+12,5.4286113,-18.467846,-9.371412,21.40921576
49:27.8,1.42163E+12,6.6830025,-18.09632,-1.2609777,19.33208175
49:27.8,1.42163E+12,5.498366,-18.632055,-3.2476466,19.69600748
49:27.9,1.42163E+12,4.867877,-15.028748,-10.908416,19.19773509
49:27.9,1.42163E+12,2.8036697,-12.067455,-9.529932,15.63021554
49:27.9,1.42163E+12,-0.43813887,-8.577763,-6.165828,10.57295695
49:27.9,1.42163E+12,0.0796344,-4.2933717,-7.9830494,9.064682008
49:27.9,1.42163E+12,3.8001475,-2.3306534,-6.682703,8.0331554
49:27.9,1.42163E+12,4.0420446,-1.687441,0.21555176,4.385435467
49:28.0,1.42163E+12,1.3645624,-0.45789778,0.06451584,1.440785624
49:28.0,1.42163E+12,-0.35371444,-1.7324972,-0.7433542,1.918133447
49:28.0,1.42163E+12,0.29219237,-7.08836,-0.31090346,7.101188973
49:28.0,1.42163E+12,3.773054,-17.587826,-0.17633331,17.98884803
49:28.0,1.42163E+12,-3.339705,-19.309994,-7.230564,20.8880481
49:28.1,1.42163E+12,-7.3230715,-18.80734,-3.4447865,20.47461765
49:28.1,1.42163E+12,-5.322781,-19.450104,-0.8457413,20.18300824
49:28.1,1.42163E+12,-1.0789562,-19.563269,2.0872595,19.70386492
49:28.1,1.42163E+12,1.9375708,-16.90779,6.216423,18.11826311
49:28.1,1.42163E+12,3.2491434,-10.059681,2.0438497,10.76714615
49:28.2,1.42163E+12,0.96234876,-6.33303,3.879782,7.48906486
49:28.2,1.42163E+12,-2.4498055,-2.3219714,3.0543983,4.552191466
49:28.2,1.42163E+12,-6.404282,1.6357983,2.5502467,7.084802202
49:28.2,1.42163E+12,-7.773784,4.215983,0.2830614,8.847957623
49:28.2,1.42163E+12,-7.1009336,5.595065,1.1569442,9.114084168
49:28.3,1.42163E+12,-6.0013204,4.483776,0.87088895,7.541786348
49:28.3,1.42163E+12,-3.705694,0.78481793,-1.2463083,3.987654898
49:28.3,1.42163E+12,8.658594,-13.353881,-15.904127,22.49974763
49:28.3,1.42163E+12,6.97759,-18.734142,-18.88967,27.504081
49:28.3,1.42163E+12,2.2656884,-6.2990513,2.5471032,7.162340813
49:28.4,1.42163E+12,-4.8635364,-3.4919386,13.59443,14.85449927
49:28.4,1.42163E+12,-16.480429,-16.839832,12.387191,26.62004851
49:28.4,1.42163E+12,-8.239466,-7.863897,5.344486,12.58146282
49:28.4,1.42163E+12,-7.951914,-4.7580056,5.1087265,10.58161802
49:28.4,1.42163E+12,-9.214239,-15.0961075,13.774206,22.41703399
49:28.5,1.42163E+12,-6.655909,-18.96556,8.848699,21.96117175
49:28.5,1.42163E+12,-0.13217515,-19.497404,-11.691887,22.73469715
49:28.5,1.42163E+12,5.7456517,-18.333574,-4.697531,19.77875746
49:28.5,1.42163E+12,5.710026,-18.800156,-0.5427713,19.65565728
49:28.5,1.42163E+12,5.7540345,-17.519567,-8.118518,20.14831197
