time,time_milisec,gx,gy,gz,resultant,MA_x,MA_y,MA_z,MA_R
00:41.3,1.42E+12,0.054358315,-0.06501735,-0.0852683,0.120219654,0.073436763,0.016392454,-0.067447341,0.152887629
00:41.4,1.42E+12,0.04369928,-0.045831937,-0.05968783,0.087022012,0.072584077,0.014878943,-0.067404709,0.152422099
00:41.4,1.42E+12,0.03304104,-0.027712587,-0.054358847,0.069387189,0.071305062,0.014473913,-0.06678652,0.151222662
00:41.4,1.42E+12,0.03304104,-0.07141213,-0.06075363,0.099410292,0.070068679,0.013813092,-0.066104373,0.150420211
00:41.4,1.42E+12,0.063950755,-0.1406924,-0.08633409,0.177024364,0.069173361,0.013173588,-0.065997782,0.150380702
00:41.4,1.42E+12,0.100189716,-0.21849959,-0.10978296,0.264258109,0.069152045,0.012065105,-0.06646676,0.151456357
00:41.5,1.42E+12,0.10978243,-0.24834323,-0.14708772,0.308806313,0.070089995,0.01057292,-0.06795895,0.153663045
00:41.5,1.42E+12,0.088465154,-0.16627286,-0.19291912,0.269611822,0.071177161,0.009784193,-0.070559618,0.156142867
00:41.5,1.42E+12,0.047962997,-0.035173167,-0.22915809,0.236750989,0.071774034,0.010189223,-0.073821116,0.159115254
00:41.5,1.42E+12,0.04263348,0.04369928,-0.23022388,0.238181182,0.072306959,0.011169799,-0.076805492,0.162224088
00:41.5,1.42E+12,0.06821394,0.060753096,-0.18439221,0.205777957,0.073180955,0.011766672,-0.078340309,0.164046601
00:41.6,1.42E+12,0.06927974,0.087399356,-0.142824,0.181209892,0.073266219,0.01193721,-0.078340309,0.164158153
00:41.6,1.42E+12,0.081004575,0.07247766,-0.10019025,0.147827056,0.07241355,0.011702724,-0.07710392,0.162704548
00:41.6,1.42E+12,0.09912392,0.03410684,-0.054358847,0.118083497,0.071496922,0.010636874,-0.075100126,0.160482073
00:41.6,1.42E+12,0.087399356,0.019185146,-0.034107372,0.095760274,0.070452387,0.009805515,-0.07328818,0.158460903
00:41.6,1.42E+12,0.06821394,0.04369928,-0.03837109,0.089638771,0.069471801,0.009869463,-0.072350236,0.157243226
00:41.7,1.42E+12,0.09059701,0.056489907,-0.045831937,0.116187324,0.070175259,0.009421812,-0.072371552,0.157441253
00:41.7,1.42E+12,0.101255514,0.041567683,-0.024514664,0.112167376,0.072179053,0.00748196,-0.072520769,0.156892403
00:41.7,1.42E+12,0.06714814,0.014921425,-0.01279063,0.069965147,0.073735197,0.004561527,-0.072542085,0.155057281
00:41.7,1.42E+12,0.049028795,-0.015988022,-0.006395315,0.051964792,0.074118899,0.002259288,-0.072606033,0.154025208
00:41.7,1.42E+12,0.004263188,-0.006395315,-0.021317273,0.022660559,0.073095681,0.002536411,-0.072797882,0.153275186
00:41.8,1.42E+12,0.004263188,-0.01279063,-0.043700077,0.045732611,0.072051147,0.003644894,-0.073053684,0.152313695
00:41.8,1.42E+12,0.030909447,0.026645726,-0.08846568,0.097424664,0.071283741,0.006778486,-0.074012944,0.151206114
00:41.8,1.42E+12,0.07247766,0.04263348,-0.11830986,0.145147676,0.071219793,0.011084519,-0.075036162,0.150106569
00:41.8,1.42E+12,0.07460926,0.036238696,-0.1279023,0.152442721,0.071262425,0.014196806,-0.075164063,0.149453123
00:41.8,1.42E+12,0.06821394,0.018119348,-0.12470465,0.143292366,0.071496906,0.015347931,-0.074631138,0.148993103
00:41.9,1.42E+12,0.06501655,-0.019185679,-0.10019025,0.120968294,0.072477492,0.014004957,-0.073181579,0.147814118
00:41.9,1.42E+12,0.06821394,-0.05222672,-0.07674138,0.115195535,0.072861195,0.009784198,-0.071049878,0.145168951
00:41.9,1.42E+12,0.05542411,-0.045831937,-0.06608315,0.097669755,0.071923251,0.004817339,-0.069600325,0.141805224
00:41.9,1.42E+12,0.03304104,-0.04263428,-0.058622036,0.079661379,0.070644236,0.000553938,-0.069046084,0.139111568
00:41.9,1.42E+12,0.028777853,-0.036239497,-0.049029328,0.067419144,0.070111311,-0.003069959,-0.068662376,0.137069545
00:42.0,1.42E+12,0.004263188,-0.03090998,-0.054358847,0.062677635,0.068747021,-0.004988489,-0.068768966,0.136142819
00:42.0,1.42E+12,-0.021317273,0.027712055,-0.0820709,0.089207717,0.066359524,-0.00426371,-0.069664278,0.135821772
00:42.1,1.42E+12,0.011724034,0.09059701,-0.11617774,0.147792214,0.064206508,-0.001961477,-0.071348317,0.136257792
00:42.1,1.42E+12,0.03410684,0.07780665,-0.11298035,0.141356679,0.062799586,0.000426026,-0.073138947,0.136788128
00:42.1,1.42E+12,0.06288496,0.047962997,-0.11191455,0.137039534,0.063098025,0.001172121,-0.07480167,0.138390105
00:42.1,1.42E+12,0.060753096,0.04263348,-0.105519235,0.129007214,0.063673582,0.000383384,-0.075995416,0.138984447
00:42.1,1.42E+12,0.04369928,0.036238696,-0.094861,0.1105508,0.063289869,-0.001726996,-0.076421756,0.137762769
00:42.1,1.42E+12,0.03410684,0.049028795,-0.0959268,0.113000222,0.061797673,-0.00394396,-0.07712522,0.135969578
00:42.1,1.42E+12,0.041567683,0.060753096,-0.10338764,0.126916567,0.060028359,-0.006203562,-0.078468183,0.134107674
00:42.1,1.42E+12,0.047962997,0.06714814,-0.10232185,0.131449925,0.058749339,-0.008228677,-0.080258807,0.1326846
