time,time_milisec,ax,ay,az,resultant,MA_x,Ma_y,Ma_z,Ma_R,,,
55:30.4,1.42E+12,-2.3504124,-11.948603,1.7510587,12.30283539,-3.845368854,-9.161456802,-0.152144833,10.85883039,,,
55:30.4,1.42E+12,-0.9048683,-11.940819,-1.6833993,12.09279861,-3.784604399,-9.241781598,-0.190077176,10.92402202,,,
55:30.4,1.42E+12,-2.1188438,-10.042616,-0.32826737,10.26895295,-3.766226287,-9.269590088,-0.200656197,10.94599812,,,
55:30.4,1.42E+12,-4.2525067,-8.147557,-0.33500335,9.196669264,-3.802893911,-9.251639659,-0.210990829,10.94273055,,,
55:30.4,1.42E+12,-5.2394047,-6.687793,0.26794282,8.499984128,-3.869850595,-9.211327578,-0.216721768,10.93459448,,,
55:30.5,1.42E+12,-4.7586045,-6.962621,0.7643106,8.467973705,-3.926292407,-9.178802353,-0.220693102,10.92705172,,,
55:30.5,1.42E+12,-3.2192056,-7.597451,0.8789722,8.298020157,-3.942862032,-9.154503904,-0.217687108,10.90984493,,,
55:30.5,1.42E+12,-1.9700532,-8.202642,0.44801834,8.447790588,-3.930670036,-9.130257373,-0.215774758,10.88343617,,,
55:30.5,1.42E+12,-1.7428257,-9.2311535,-0.21989273,9.396807393,-3.915087132,-9.115841445,-0.221151332,10.86604801,,,
55:30.5,1.42E+12,-2.0622616,-9.575138,-0.5653743,9.811006,-3.914289811,-9.107574955,-0.226072731,10.85802431,,,
55:30.6,1.42E+12,-2.7854078,-9.533226,-0.30776,9.936579431,-3.939296993,-9.082466976,-0.206096923,10.83730513,,,
55:30.6,1.42E+12,-3.1998959,-9.4049425,0.2402504,9.937303329,-3.959120058,-9.038941169,-0.171088092,10.79840931,,,
55:30.6,1.42E+12,-2.997816,-9.439221,0.36179763,9.910433461,-3.955078462,-9.000590312,-0.149526806,10.7602253,,,
55:30.6,1.42E+12,-2.10148,-10.394085,-1.8074913,10.75733452,-3.923524693,-8.974993537,-0.170752055,10.73016698,,,
55:30.6,1.42E+12,-2.484234,-11.244467,-2.9548554,11.88867642,-3.912417179,-8.956899537,-0.212750435,10.7169661,,,
55:30.7,1.42E+12,-2.739603,-11.361673,-0.38574782,11.69366663,-3.913804093,-8.9176597,-0.188009027,10.67715683,,,
