time,time_milisec,ax,ay,az,resultant,MA_ax,MA_ay,MA_az,MA_R
41:19.0,1.42E+12,2.2821543,-1.9061362,-8.569979,9.071169909,1.291972331,-2.168983572,-8.713643936,9.251915455
41:19.0,1.42E+12,2.657424,-2.333198,-8.425828,9.137849458,1.271261401,-2.124094912,-8.724532284,9.237990599
41:19.0,1.42E+12,2.4987538,-2.311643,-8.286768,8.958682258,1.250403777,-2.08442142,-8.732893904,9.224385442
41:19.0,1.42E+12,2.7074199,-2.9234207,-8.226892,9.141020899,1.233812281,-2.062629734,-8.741258504,9.217902143
41:19.1,1.42E+12,2.7644513,-2.9463232,-7.842342,8.821867117,1.217627937,-2.041595476,-8.73817193,9.201775583
41:19.1,1.42E+12,3.0708642,-3.3181498,-7.63652,8.874500704,1.213721061,-2.02711758,-8.73348967,9.190635692
41:19.1,1.42E+12,3.5414855,-3.6610868,-7.7133102,9.243420922,1.219921169,-2.017774008,-8.733351954,9.188863852
41:19.1,1.42E+12,3.53445,-4.105363,-8.004155,9.665031786,1.229417419,-2.020788742,-8.732744214,9.192898203
41:19.2,1.42E+12,3.4540672,-4.6725335,-7.758067,9.692819668,1.240769809,-2.029782044,-8.723277914,9.192930091
41:19.2,1.42E+12,3.382965,-4.800517,-7.8089614,9.770838951,1.256744587,-2.042631316,-8.722981532,9.203761741
41:19.2,1.42E+12,3.570974,-4.7788124,-7.880512,9.883894609,1.285517749,-2.056531414,-8.723403642,9.219236971
41:19.2,1.42E+12,3.5853443,-4.9802933,-7.35271,9.577074681,1.315542315,-2.077703384,-8.711227962,9.228450611
41:19.2,1.42E+12,3.5813026,-5.277575,-7.183412,9.60624454,1.343267657,-2.10984155,-8.682559582,9.228178255
41:19.2,1.42E+12,3.7693117,-5.501959,-7.4155793,9.973468799,1.376860803,-2.158214966,-8.662564168,9.243591729
41:19.3,1.42E+12,3.8736448,-6.0372453,-7.3158865,10.24576255,1.419737643,-2.221907512,-8.642562758,9.269303422
41:19.3,1.42E+12,3.7058437,-6.0052123,-7.0513864,9.975866,1.450384911,-2.291111604,-8.604329266,9.277470233
41:19.3,1.42E+12,3.59702,-6.115832,-6.9341803,9.920927898,1.469769603,-2.35812425,-8.554429032,9.272456987
41:19.3,1.42E+12,3.3482373,-6.1761565,-7.078181,9.972775361,1.494213769,-2.42603802,-8.510639112,9.273780378
41:19.3,1.42E+12,3.0991552,-6.0829005,-6.81413,9.645662709,1.527576389,-2.49744553,-8.467172512,9.277870912
41:19.4,1.42E+12,3.1966026,-6.323151,-7.1441936,10.06180943,1.569561081,-2.575259716,-8.427262504,9.288681266
41:19.4,1.42E+12,3.134482,-6.4843655,-6.6524663,9.804452112,1.610231511,-2.658085472,-8.36978503,9.287333452
41:19.4,1.42E+12,3.3539255,-6.688242,-6.5223866,9.925871461,1.66194597,-2.747793932,-8.308735982,9.288751831
41:19.4,1.42E+12,3.5362463,-7.177574,-6.3459034,10.21239915,1.718914503,-2.847845872,-8.25643775,9.308067582
